NBDL-HK3QD0REMSB2FE.v1.mt	Atule mate 
NBDL-HHG28F0FNBQ3C8.v1.mt	Caprodon krasyukovae 
NBDL-HR5SFP5WMM60C5.v1.mt	Achoerodus viridis 
NBDL-HK3SPRS3JG75EW.v1.mt	Caprodon longimanus 
NBDL-HK3QHXRZHQ6HYS.v1.mt	Paracaesio sordida 
NBDL-HK4AMQZRGCPX6Q.v1.mt	Choerodon cephalotes 
NBDL-HR5S2B17N37W3P.v1.mt	Gobiopterus semivestitus 
NBDL-HR5S2AXNH4NC1G.v1.mt	Callogobius flavobrunneus 
NBDL-HK3QFJ2XJ48JZM.v1.mt	Trachinotus coppingeri 
NBDL-HR5SFP5AGM7W1D.v1.mt	Eviota fasciola 
NBDL-HK3QFJ22G49ZAG.v1.mt	Pseudocaranx dentex 
NBDL-HR5S2AVSG4RQ1F.v1.mt	Istigobius decoratus 
NBDL-HR5S2AYZM4HMHN.v1.mt	Trimma benjamini 
NBDL-HR5S2B0AQ36V0A.v1.mt	Macrodontogobius wilburi 
NBDL-HR5SFP69QKRK4W.v1.mt	Asterropteryx semipunctatus 
NBDL-HK3SPRRZJG24ZC.v1.mt	Chelidoperca hirundinacea 
NBDL-HR5S2B4XH2G16C.v1.mt	Gomphosus varius 
NBDL-HR5SFP6NQKVDDC.v1.mt	Eviota sebreei 
NBDL-HR5S2AXQN4N958.v1.mt	Labrichthys unilineatus 
NBDL-HK3SPRT1NGEH6H.v1.mt	Epinephelus fasciatus 
NBDL-HK3QFJ1QN4NBKS.v1.mt	Megalaspis cordyla 
NBDL-HK3SXDWRQ34D57.v1.mt	Triso dermopterus 
NBDL-HK3QHXSVHQ7XV9.v1.mt	Paracaesio xanthura 
NBDL-HR5S2B65G2W5B9.v1.mt	Lutjanus monostigma 
NBDL-HK3SXDWHN342AK.v1.mt	Plectranthias ferrugineus 
NBDL-HR5SFP3ANM1T2A.v1.mt	Bathygobius padangensis 
NBDL-HK3SXDWTK34AEZ.v1.mt	Variola louti 
NBDL-HR5S2B5PQ2YWY8.v1.mt	Favonigobius exquisitus 
NBDL-HK3SXDVPM2NE4G.v1.mt	Epinephelus amblycephalus 
NBDL-HR5SFP4SPM4Q9S.v1.mt	Trimma milta 
NBDL-HR5S2B38J34ATF.v1.mt	Istigobius goldmanni 
NBDL-HK3QFJ1ZN4JRWS.v1.mt	Pseudocaranx georgianus 
NBDL-HR5S2AVRP4RSKV.v1.mt	Coris batuensis 
NBDL-HK3QFJ46Q4RVCZ.v1.mt	Lutjanus johnii 
NBDL-HR5S2B1NH3609E.v1.mt	Cryptocentroides gobioides 
NBDL-HR5S2B4TQ2GP7R.v1.mt	Scarus niger 
NBDL-HR5S2B2NG32Q1B.v1.mt	Macropharyngodon choati 
NBDL-HK3QD0TXHSJ0S7.v1.mt	Caranx papuensis 
NBDL-HK3SPRSFJG4RDC.v1.mt	Epinephelus rivulatus 
NBDL-HK3SPRS2MG74W0.v1.mt	Chelidoperca pleurospilus 
NBDL-HR5S2AZYP4K0KS.v1.mt	Scolopsis margaritifera 
NBDL-HK3QFJ2NJ48Y8M.v1.mt	Seriola lalandi 
NBDL-HR5S2B6WP2XK65.v1.mt	Labroides dimidiatus 
NBDL-HR5SFP6XQKV00C.v1.mt	Eviota sigillata 
NBDL-HR5SFP6VKKVQKM.v1.mt	Epinephelus fuscoguttatus 
NBDL-HK3QHXREQQ6B6N.v1.mt	Lutjanus quinquelineatus 
NBDL-HR5S2AZNG4KBJD.v1.mt	Callogobius mucosus 
NBDL-HR5S2B6AJ2WX7D.v1.mt	Bathygobius cocosensis 
NBDL-HR5S2B61G2WB2S.v1.mt	Paragobiodon echinocephalus 
NBDL-HR5S2AX3N4MANR.v1.mt	Asterropteryx semipunctata 
NBDL-HR5S2B6BM2WWTH.v1.mt	Favonigobius lentiginosus 
NBDL-HK3SXDWEK37BSF.v1.mt	Plectranthias mcgroutheri 
NBDL-HR5SFP22NME05A.v1.mt	Bodianus flavifrons 
NBDL-HK4B09HNJE6V67.v1.mt	Acentrogobius nebulosus 
NBDL-HR5SFP1BJM85S3.v1.mt	Eviota maculosa 
NBDL-HK3QQM0PH1GHK5.v1.mt	Pentapodus nagasakiensis 
NBDL-HK4B09HPME6TMB.v1.mt	Acentrogobius caninus 
NBDL-HR5S2B3FM35NTK.v1.mt	Scolopsis lineata 
NBDL-HR5S2B6KM2X2XH.v1.mt	Pseudocheilinus evanidus 
NBDL-HR5S2AYSG4GA3X.v1.mt	Istigobius hoesei 
NBDL-HR5S2AY2P4GZ39.v1.mt	Trimma necopinum 
NBDL-HR5S2B25G33HZB.v1.mt	Gobiodon brochus 
NBDL-HK3QD0T0QSNN93.v1.mt	Caranx sexfasciatus 
NBDL-HR5S2AVWP4RZ5B.v1.mt	Macropharyngodon meleagris 
NBDL-HK3QHXT9PPWA94.v1.mt	Lutjanus kasmira 
NBDL-HK3QHXTXPPXXDM.v1.mt	Pentapodus paradiseus 
NBDL-HR5SFNW6MTVA3S.v1.mt	Eviota queenslandica 
NBDL-HR5S2B1FN379CP.v1.mt	Bathygobius coalitus 
NBDL-HK3SXDX9N358DK.v1.mt	Lepidoperca brochata 
NBDL-HR5SFP3KKM19S6.v1.mt	Pyronotanthias smithvanizi 
NBDL-HK3SXDWJK34YXZ.v1.mt	Epinephelus insularis 
NBDL-HR5SFP1AMM83CQ.v1.mt	Eviota singula 
NBDL-HK3QD0V2KSQ0YV.v1.mt	Decapterus kurroides 
NBDL-HR5S2B29G32YRV.v1.mt	Paragobiodon lacunicolus 
NBDL-HR5SFP4GMM454N.v1.mt	Callogobius sclateri 
NBDL-HK3QFJ32G4BDPG.v1.mt	Trachurus novaezelandiae 
NBDL-HR5S2B3YP34TJ7.v1.mt	Thalassoma hardwicke 
NBDL-HK4AMQZ4GCPQF7.v1.mt	Bodianus solatus 
NBDL-HR5SFP5EGM7PFX.v1.mt	Luzonichthys seaver 
NBDL-HR5S2B5BN2HHFM.v1.mt	Lutjanus bohar 
