Tilapia	Cichlidae	Cichliformes	Teleostei
Omosudis	Omosudidae	Aulopiformes	Teleostei
Trachinotus	Carangidae	Carangiformes	Teleostei
Peckoltichthys	Loricariidae	Siluriformes	Teleostei
Emmelichthyops	Haemulidae	Eupercaria/misc	Teleostei
Microcarbo	Phalacrocoracidae	Pelecaniformes	Aves
Capoetobrama	Leuciscidae	Cypriniformes	Teleostei
Xiphister	Stichaeidae	Perciformes/Zoarcoidei	Teleostei
Paracanthurus	Acanthuridae	Acanthuriformes	Teleostei
Doboatherina	Atherinidae	Atheriniformes	Teleostei
Ixinandria	Loricariidae	Siluriformes	Teleostei
Lipopterichthys	Loricariidae	Siluriformes	Teleostei
Cantherhines	Monacanthidae	Tetraodontiformes	Teleostei
Fratercula	Alcidae	Charadriiformes	Aves
Paramugil	Mugilidae	Mugiliformes	Teleostei
Lithognathus	Sparidae	Eupercaria/misc	Teleostei
Elagatis	Carangidae	Carangiformes	Teleostei
Carrigobius	Gobiidae	Gobiiformes	Teleostei
Girardinus	Poeciliidae	Cyprinodontiformes	Teleostei
Varicus	Gobiidae	Gobiiformes	Teleostei
Eudyptula	Spheniscidae	Sphenisciformes	Aves
Dexistes	Pleuronectidae	Pleuronectiformes	Teleostei
Ardenna	Procellariidae	Procellariiformes	Aves
Cestraeus	Mugilidae	Mugiliformes	Teleostei
Odontanthias	Anthiadidae	Perciformes/Serranoidei	Teleostei
Congrogadus	Pseudochromidae	Ovalentaria/misc	Teleostei
Charadrius	Charadriidae	Charadriiformes	Aves
Scaevius	Nemipteridae	Eupercaria/misc	Teleostei
Cottocomephorus	Cottidae	Perciformes/Cottoidei	Teleostei
Anisarchus	Lumpenidae	Perciformes/Zoarcoidei	Teleostei
Pararius	Ariidae	Siluriformes	Teleostei
Stellerina	Agonidae	Perciformes/Cottoidei	Teleostei
Scyris	Carangidae	Carangiformes	Teleostei
Lepidorhombus	Scophthalmidae	Pleuronectiformes	Teleostei
Yarrella	Phosichthyidae	Stomiiformes	Teleostei
Gobiosoma	Gobiidae	Gobiiformes	Teleostei
Somateria	Anatidae	Anseriformes	Aves
Histriophoca	Phocidae	Carnivora	Mammalia
Anoplarchus	Stichaeidae	Perciformes/Zoarcoidei	Teleostei
Austroglossus	Soleidae	Pleuronectiformes	Teleostei
Apistogramma	Cichlidae	Cichliformes	Teleostei
Rubricatochromis	Cichlidae	Cichliformes	Teleostei
Dekeyseria	Loricariidae	Siluriformes	Teleostei
Crenimugil	Mugilidae	Mugiliformes	Teleostei
Anchichoerops	Labridae	Eupercaria/misc	Teleostei
Caulolatilus	Latilidae	Eupercaria/misc	Teleostei
Narcinops	Narcinidae	Torpediniformes	Elasmobranchii
Normichthys	Platytroctidae	Alepocephaliformes	Teleostei
Bucephala	Anatidae	Anseriformes	Aves
Cratinus	Serranidae	Perciformes/Serranoidei	Teleostei
Aluterus	Monacanthidae	Tetraodontiformes	Teleostei
Percophis	Percophidae	Perciformes/Percophoidei	Teleostei
Meganthias	Anthiadidae	Perciformes/Serranoidei	Teleostei
Samaris	Samaridae	Pleuronectiformes	Teleostei
Plotosus	Plotosidae	Siluriformes	Teleostei
Eugerres	Gerreidae	Eupercaria/misc	Teleostei
Photoblepharon	Anomalopidae	Trachichthyiformes	Teleostei
Ginsburgellus	Gobiidae	Gobiiformes	Teleostei
Microlepidogaster	Loricariidae	Siluriformes	Teleostei
Derilissus	Gobiesocidae	Gobiesociformes	Teleostei
Sueviota	Gobiidae	Gobiiformes	Teleostei
Chirostoma	Atherinopsidae	Atheriniformes	Teleostei
Oxynotus	Oxynotidae	Squaliformes	Elasmobranchii
Belobranchus	Eleotridae	Gobiiformes	Teleostei
Pterygoplichthys	Loricariidae	Siluriformes	Teleostei
Leptoscarus	Scaridae	Eupercaria/misc	Teleostei
Echidna	Muraenidae	Anguilliformes	Teleostei
Acanthonus	Ophidiidae	Ophidiiformes	Teleostei
Alosa	Alosidae	Clupeiformes	Teleostei
Benthophilus	Gobiidae	Gobiiformes	Teleostei
Rheopresbe	Cottidae	Perciformes	Teleostei
Urophycis	Phycidae	Gadiformes	Teleostei
Glenoglossa	Ophichthidae	Anguilliformes	Teleostei
Pseudomyrophis	Ophichthidae	Anguilliformes	Teleostei
Opsanus	Batrachoididae	Batrachoidiformes	Teleostei
Scombrolabrax	Scombrolabracidae	Scombriformes	Teleostei
Girella	Girellidae	Centrarchiformes	Teleostei
Corythoichthys	Syngnathidae	Syngnathiformes	Teleostei
Pristis	Pristidae	Rhinopristiformes	Elasmobranchii
Dicologlossa	Soleidae	Pleuronectiformes	Teleostei
Doederleinia	Acropomatidae	Acropomatiformes	Teleostei
Taurocottus	Cottidae	Perciformes/Cottoidei	Teleostei
Notorynchus	Hexanchidae	Hexanchiformes	Elasmobranchii
Histiophryne	Histiophrynidae	Lophiiformes	Teleostei
Rhamphochromis	Cichlidae	Cichliformes	Teleostei
Hypseleotris	Eleotridae	Gobiiformes	Teleostei
Brachypterois	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Triaenodon	Carcharhinidae	Carcharhiniformes	Elasmobranchii
Stigmatopora	Syngnathidae	Syngnathiformes	Teleostei
Pandion	Pandionidae	Accipitriformes	Aves
Eleginus	Gadidae	Gadiformes	Teleostei
Limatulichthys	Loricariidae	Siluriformes	Teleostei
Bleekeria	Ammodytidae	Perciformes/Uranoscopoidei	Teleostei
Aldrichetta	Mugilidae	Mugiliformes	Teleostei
Acropoma	Acropomatidae	Acropomatiformes	Teleostei
Gracila	Epinephelidae	Perciformes/Serranoidei	Teleostei
Aruma	Gobiidae	Gobiiformes	Teleostei
Gempylus	Gempylidae	Scombriformes	Teleostei
Turrum	Carangidae	Carangiformes	Teleostei
Zebrus	Gobiidae	Gobiiformes	Teleostei
Dialommus	Labrisomidae	Blenniiformes	Teleostei
Parazen	Parazenidae	Zeiformes	Teleostei
Acanthopagrus	Sparidae	Eupercaria/misc	Teleostei
Hypancistrus	Loricariidae	Siluriformes	Teleostei
Photopectoralis	Leiognathidae	Acanthuriformes	Teleostei
Rhinelepis	Loricariidae	Siluriformes	Teleostei
Lophotibis	Threskiornithidae	Ciconiiformes	Aves
Acanthoclinus	Plesiopidae	Ovalentaria/misc	Teleostei
Stonogobiops	Gobiidae	Gobiiformes	Teleostei
Grammistops	Grammistidae	Perciformes/Serranoidei	Teleostei
Miichthys	Sciaenidae	Eupercaria/misc	Teleostei
Odondebuenia	Gobiidae	Gobiiformes	Teleostei
Hipposcarus	Scaridae	Eupercaria/misc	Teleostei
Chrosomus	Leuciscidae	Cypriniformes	Teleostei
Tigrisoma	Ardeidae	Ciconiiformes	Aves
Quintana	Poeciliidae	Cyprinodontiformes	Teleostei
Telatrygon	Dasyatidae	Myliobatiformes	Elasmobranchii
Quietula	Gobiidae	Gobiiformes	Teleostei
Dacodraco	Channichthyidae	Perciformes/Notothenioidei	Teleostei
Paranotropis	Cyprinidae	Cypriniformes	Teleostei
Centropogon	Tetrarogidae	Perciformes/Scorpaenoidei	Teleostei
Phenacostethus	Phallostethidae	Atheriniformes	Teleostei
Cynoscion	Sciaenidae	Eupercaria/misc	Teleostei
Iotichthys	Leuciscidae	Cypriniformes	Teleostei
Cetorhinus	Cetorhinidae	Lamniformes	Elasmobranchii
Lile	Dorosomatidae	Clupeiformes	Teleostei
Neophron	Accipitridae	Falconiformes	Aves
Myrichthys	Ophichthidae	Anguilliformes	Teleostei
Gammogobius	Gobiidae	Gobiiformes	Teleostei
Parajulis	Labridae	Eupercaria/misc	Teleostei
Nemuroglanis	Heptapteridae	Siluriformes	Teleostei
Ostracion	Ostraciidae	Tetraodontiformes	Teleostei
Barbulifer	Gobiidae	Gobiiformes	Teleostei
Heterostichus	Clinidae	Blenniiformes	Teleostei
